Topic,Word Representation,CategoryLv3,Category Lv. 2,Category Lv. 1
122,"['huggingface', 'prompt', 't5', 'model', 'logit', 'face', 'generation', 'hug', 'wash', 'rag']",Text Generation with Hugging Face and T5 Models,Transformer-based NLP with Hugging Face and GPT,Machine Learning and Deep Learning Approaches
97,"['gpt2', 'prompt', 'gpt', 'openai', 'gpt3', 'fine', 'mask', 'train', 'tune', 'model']",Prompting and Fine-Tuning GPT Models,Transformer-based NLP with Hugging Face and GPT,Machine Learning and Deep Learning Approaches
107,"['install', 'instal', 'pip', 'error', 'vllm', 'command', 'pyrouge', 'run', 'version', 'environment']",Package Installation and Setup in Python for NLP,Python NLP Package Installation and Debugging,NLP Programming
14,"['spacy', 'install', 'instal', 'download', 'version', 'error', 'import', 'environment', 'command', 'conda']",Installing and Troubleshooting spaCy in Python,Python NLP Package Installation and Debugging,NLP Programming
31,"['nltk', 'import', 'download', 'instal', 'error', 'install', 'module', 'folder', 'package', 'python']",Installing and Importing NLTK in Python,Python NLP Package Installation and Debugging,NLP Programming
167,"['import', 'module', 'colab', 'install', 'modulenotfounderror', 'instal', 'meteor', 'error', 'notebook', 'google']",Module Import and Installation Errors in Google Colab Notebooks,Python NLP Package Installation and Debugging,NLP Programming
148,"['import', 'bert', 'transformer', 'summarizer', 'error', 'extractive', 'config', 'install', 'package', 'instal']",Install and Debug BERT-based Summarization Packages,Python NLP Package Installation and Debugging,NLP Programming
88,"['fasttext', 'train', 'embed', 'vector', 'pre', 'model', 'representation', 'embedding', 'pretraine', 'training']",Train or Use Pretrained FastText Word Embeddings,Pretrained Models and Embeddings,Machine Learning and Deep Learning Approaches
105,"['fasttext', 'load', 'gensim', 'syntaxnet', 'pretraine', 'model', 'fastai', 'error', 'download', 'file']",Load and Handle Pretrained NLP Models,Pretrained Models and Embeddings,Machine Learning and Deep Learning Approaches
157,"['tensorflow', 'version', 'colab', 'root', 'error', 'import', 'sep', 'device', 'param', 'oom']",TensorFlow Errors in Google Colab,Performance and Resource Optimization for NLP,NLP Programming
51,"['gpu', 'cuda', 'nvidia', 'memory', 'cpu', 'colab', 'gb', 'pytorch', 'run', 'cu12']",GPU for PyTorch in Google Colab,Performance and Resource Optimization for NLP,NLP Programming
156,"['memory', 'ram', 'gb', 'memoryerror', 'error', 'large', 'allocate', 'run', 'sparse', 'throw']",Memory Allocation When Running Large or Sparse Data Operations,Performance and Resource Optimization for NLP,NLP Programming
115,"['memory', 'dictionary', 'huge', 'slow', 'trie', 'gb', 'million', 'ms', 'large', 'hour']",Performance and Memory Optimization for Large-Scale Data Structures,Performance and Resource Optimization for NLP,NLP Programming
52,"['spacy', 'speed', 'take', 'slow', 'fast', 'process', 'time', 'lemmatization', 'pipeline', 'memory']",Performance Optimization of spaCy NLP Pipelines,Performance and Resource Optimization for NLP,NLP Programming
112,"['gb', 'gensim', 'word2vec', 'speed', 'take', 'time', 'bidmach', 'load', 'epoch', 'model']",Performance in Word Embedding Models,Performance and Resource Optimization for NLP,NLP Programming
128,"['request', 'server', 'syntaxnet', 'memory', 'process', 'load', 'send', 's3', 'aws', 'script']",Performance of SyntaxNet on Cloud Infrastructure,Performance and Resource Optimization for NLP,NLP Programming
116,"['array', 'matrix', 'valueerror', 'error', 'regressor', 'sparse', 'classifier', 'numpy', 'dimension', 'get']",Array Shape and Dimension Errors in NumPy-Based ML Models,Debugging and Error Handling in Python for NLP,NLP Programming
169,"['float', 'valueerror', 'error', 'inconsistent', 'fit', 'fix', 'shape', 'cast', 'csv', 'tmt']",Data Type and Shape Errors During Model Fitting,Debugging and Error Handling in Python for NLP,NLP Programming
90,"['nltk', 'tokenize', 'concordance', 'python', 'print', 'function', 'dispersion', 'newline', 'run', 'code']",NLTK Functions for Text Analysis in Python,Debugging and Error Handling in Python for NLP,NLP Programming
58,"['error', 'typeerror', 'argument', 'get', 'code', 'python', 'object', 'run', 'sentiment', 'valueerror']",Debugging Python Code Errors in Sentiment Analysis,Debugging and Error Handling in Python for NLP,NLP Programming
86,"['range', 'index', 'error', 'indexerror', 'code', 'list', 'function', 'typeerror', 'get', 'line']",Debugging Index and Type Errors in Python List Operations,Debugging and Error Handling in Python for NLP,NLP Programming
78,"['torchtext', 'pytorch', 'vocab', 'attribute', 'error', 'attributeerror', 'torch', 'field', 'multitaskdatasetreader', 'bucketiterator']",Debugging TorchText and PyTorch NLP Pipelines,Debugging and Error Handling in Python for NLP,NLP Programming
126,"['xml', 'tag', 'file', 'extract', 'javadoc', 'statusdescription', 'elementtree', 'src', 'parent', 'python']",Parsing and Extracting XML Files in Python,Data Extraction and File Handling for NLP in Python,NLP Programming
109,"['csv', 'file', 'column', 'excel', 'row', 'save', 'cell', 'line', 'separate', 'write']",Working with CSV and Excel Files,Data Extraction and File Handling for NLP in Python,NLP Programming
163,"['file', 'line', 'folder', 'python', 'output', 'print', 'loop', 'write', 'text', 'contain']",Working with Text Files in Python,Data Extraction and File Handling for NLP in Python,NLP Programming
160,"['file', 'folder', 'subfolder', 'read', 'tokenize', 'corpus', 'token', 'docx', 'format', 'genome']",Working with DOCX Files and Folder Structures,Data Extraction and File Handling for NLP in Python,NLP Programming
79,"['encoding', 'encode', 'decode', 'unicode', 'byte', 'character', 'chinese', 'file', 'read', 'codec']",Encoding and Decoding with Multilingual Files,Data Extraction and File Handling for NLP in Python,NLP Programming
32,"['pdf', 'pdfs', 'image', 'table', 'invoice', 'extract', 'page', 'stock', 'text', 'pdfminer']",Extracting Structured and Unstructured Data from PDF Files,Data Extraction and File Handling for NLP in Python,NLP Programming
104,"['emoji', 'emoticon', 'emojis', 'unicode', 'tweet', 'ascii', 'flair', 'contiguous', 'symbol', 'remove']",Processing Emojis and Symbols in Social Media Text,Specialised Tools and Techniques for Applied NLP,Libraries and Tools
123,"['maltparser', 'malt', 'parser', 'parse', 'xpostag', 'engmalt', 'nltk', 'dependency', 'treebank', 'ud']",Dependency Parsing Using MaltParser and Treebanks in NLP,Specialised Tools and Techniques for Applied NLP,Libraries and Tools
101,"['langchain', 'chain', 'openai', 'chatgpt', 'mistral', '7b', 'citation', 'llm', 'runnables', 'tavily']",Building and Running LLM Applications Using LangChain and OpenAI/Mistral Models,Specialised Tools and Techniques for Applied NLP,Libraries and Tools
150,"['json', 'file', 'jsondecodeerror', 'convert', 'format', 'mldatatable', 'database', 'hungarain', 'sentihood', 'eror']",Handling JSON Data for NLP Datasets,Specialised Tools and Techniques for Applied NLP,Libraries and Tools
146,"['spark', 'pyspark', 'scala', 'sparknlp', 'mllib', 'udf', 'textblob', 'documentassembler', 'dstream', 'error']",NLP and ML with Apache Spark,Specialised Tools and Techniques for Applied NLP,Libraries and Tools
67,"['glove', 'embedding', 'vector', 'embed', 'word2vec', 'pre', 'word', 'gensim', 'train', 'load']",Using Pretrained Word Embeddings in NLP,Specialised Tools and Techniques for Applied NLP,Libraries and Tools
108,"['u00', 'crf', 'template', 'crfsuite', 'mallet', 'feature', 'floydhub', 'simpletagger', 'training', 'toolkit']",Training Conditional Random Fields (CRFs) for Sequence Labeling,Foundations and Evaluation in Classical NLP ,#N/A
134,"['understand', 'def', 'chris', 'notation', 'mean', 'unk', 'code', 'python', 'explain', 'meaning']","Understanding Code, Notation, and Unknown Tokens in NLP",Foundations and Evaluation in Classical NLP ,#N/A
158,"['viterbi', 'transition', 's1', 'algorithm', 'state', 'markov', 'baum', 'welch', 'deterministic', 'red']",Hidden Markov Models (HMMs) and the Viterbi/Baum-Welch Algorithms,Foundations and Evaluation in Classical NLP ,#N/A
103,"['bleu', 'score', 'meteor', 'ndcg', 'rouge', 'bm25', 'calculate', 'caption', 'evaluation', 'evaluate']",Evaluation Metrics for NLP Tasks,Foundations and Evaluation in Classical NLP ,#N/A
165,"['sentiment', 'negative', 'stanford', 'np', 'positive', 'equity', 'legislature', 'dt', 'nn', 'ami']",Sentiment Analysis and Syntactic Parsing with Stanford CoreNLP,Sentiment Analysis Tools and Techniques,Classification and Sentiment
2,"['sentiment', 'negative', 'positive', 'analysis', 'review', 'polarity', 'aspect', 'neutral', 'score', 'vader']",Sentiment Analysis Using VADER and Aspect-Based Techniques,Sentiment Analysis Tools and Techniques,Classification and Sentiment
137,"['review', 'classifier', 'bayes', 'star', 'naive', 'predict', 'sentiment', 'tweet', 'negative', 'neutral']",Sentiment Classification of Reviews and Tweets Using Naive Bayes,Sentiment Analysis Tools and Techniques,Classification and Sentiment
73,"['naive', 'bayes', 'classifier', 'class', 'category', 'probability', 'classify', 'classification', 'label', 'entropy']",Text Classification Using Naive Bayes and Probabilistic Methods,Text Classification,Classification and Sentiment
49,"['weka', 'svm', 'label', 'classifier', 'classify', 'feature', 'classification', 'class', 'scikit', 'multi']",Supervised Classification Using SVMs and Multi-Label Learning in WEKA and Scikit-learn,Text Classification,Classification and Sentiment
29,"['classification', 'classifier', 'feature', 'classify', 'category', 'label', 'document', 'text', 'datum', 'class']",Text Classification Using Supervised Learning,Text Classification,Classification and Sentiment
18,"['test', 'accuracy', 'classification', 'precision', 'recall', 'scikit', 'confusion', 'f1', 'dataset', 'classifier']",Metrics for Evaluating Classification Models Using Scikit-learn,Text Classification,Classification and Sentiment
5,"['topic', 'lda', 'modeling', 'mallet', 'gensim', 'document', 'modelling', 'coherence', 'latent', 'dirichlet']",Topic Modeling Using LDA with Gensim and MALLET,"Unsupervised Learning: Topic Modeling, Clustering, and Text Similarity in NLP ",Unsupervised Learning and Clustering
24,"['cluster', 'clustering', 'kmeans', 'means', 'algorithm', 'distance', 'similar', 'group', 'dbscan', 'similarity']",Clustering Algorithms for Grouping Similar Data Points,"Unsupervised Learning: Topic Modeling, Clustering, and Text Similarity in NLP ",Unsupervised Learning and Clustering
0,"['word2vec', 'vector', 'gensim', 'doc2vec', 'similarity', 'embedding', 'model', 'embed', 'train', 'word']",Document Similarity Using Embedding Models,"Unsupervised Learning: Topic Modeling, Clustering, and Text Similarity in NLP ",Unsupervised Learning and Clustering
19,"['cosine', 'similarity', 'document', 'distance', 'matrix', 'calculate', 'vector', 'tf', 'idf', 'compute']",Document Similarity Using TF-IDF and Cosine Distance,"Unsupervised Learning: Topic Modeling, Clustering, and Text Similarity in NLP ",Unsupervised Learning and Clustering
80,"['similarity', 'similar', 'distance', 'algorithm', 'compare', 'levenshtein', 'score', 'calculate', 'find', 'measure']",Similarity Algorithms and Distance Measures,"Unsupervised Learning: Topic Modeling, Clustering, and Text Similarity in NLP ",Unsupervised Learning and Clustering
85,"['similarity', 'semantic', 'sentence', 'measure', 'compare', 'similar', 'utterance', 'comparison', 'meaning', 'different']",Semantic Similarity Between Sentences or Utterances,"Unsupervised Learning: Topic Modeling, Clustering, and Text Similarity in NLP ",Unsupervised Learning and Clustering
168,"['co', 'pmi', 'matrix', 'occurrence', 'occurence', 'fcm', 'occur', 'pointwise', 'window', 'quarter']",Co-Occurrence Matrix Construction and PMI Calculation in NLP,Text Representation and Frequency Analysis in NLP ,Foundations in NLP
139,"['term', 'matrix', 'dtm', 'document', 'lsa', 'tm', 'stm', 'tdm', 'package', 'corpus']",Document-Term Matrix Construction and Topic Modeling in NLP,Text Representation and Frequency Analysis in NLP ,Foundations in NLP
161,"['tm', 'termdocumentmatrix', 'rstudio', 'wordcloud', 'error', 'package', 'matrix', 'syuzhet', 'term', 'function']","Term-Document Matrices and Visualization in R Using tm, syuzhet, and wordcloud Packages",Text Representation and Frequency Analysis in NLP ,Foundations in NLP
4,"['idf', 'tf', 'tfidf', 'tfidfvectorizer', 'feature', 'vectorizer', 'document', 'scikit', 'sklearn', 'term']",Feature Extraction Using TF-IDF with Scikit-learn,Text Representation and Frequency Analysis in NLP ,Foundations in NLP
44,"['countvectorizer', 'sklearn', 'count', 'sparse', 'vocabulary', 'vectorize', 'scikit', 'feature', 'matrix', 'vectorizer']",Text Vectorization Using CountVectorizer in Scikit-learn,Text Representation and Frequency Analysis in NLP ,Foundations in NLP
41,"['count', 'dataframe', 'column', 'frequency', 'row', 'amod', 'frame', 'pobj', 'occurrence', 'number']",Counting Word Frequencies and Syntactic Patterns in DataFrames,Text Representation and Frequency Analysis in NLP ,Foundations in NLP
17,"['count', 'frequency', 'word', 'occurrence', 'number', 'frequent', 'counter', 'list', 'appear', 'total']",Counting Word Frequency in Texts,Text Representation and Frequency Analysis in NLP ,Foundations in NLP
89,"['plot', 'graph', 'matplotlib', 'chart', 'frequency', 'visualization', 'axis', 'ggplot', 'color', 'visualize']",Data Visualization of Frequencies Using Plotting Libraries,Text Representation and Frequency Analysis in NLP ,Foundations in NLP
152,"['quanteda', 'dfm', 'gram', 'corpus', 'frequency', 'investor', 'package', 'bigram', 'group', '1grams']",N-Gram Frequency Analysis in Text Corpora Using Quanteda in R,N-Gram Analysis and Language Modeling,Foundations in NLP
12,"['bigram', 'gram', 'ngram', 'trigram', 'unigrams', 'bigrams', 'unigram', 'frequency', 'list', 'bi']",N-Gram Frequency Analysis,N-Gram Analysis and Language Modeling,Foundations in NLP
76,"['smoothing', 'probability', 'gram', 'ngram', 'backoff', 'smooth', 'discount', 'trigram', 'unigram', 'tri']",N-Gram Language Modeling with Smoothing Techniques,N-Gram Analysis and Language Modeling,Foundations in NLP
154,"['missing', 'predict', 'miss', 'probability', 'blank', 'bert', 'incomplete', 'candidate', 'word', 'sentence']",Masked Word Prediction Using BERT for Incomplete Sentences,Language Modeling Techniques and Evaluation,Foundations in NLP
142,"['probability', 'chase', 'entropy', 'likelihood', 'bracketing', 'markov', 'calculate', 'dog', 'cat', 'token']",Probabilistic Language Modeling and Syntax Parsing with Markov Assumptions,Language Modeling Techniques and Evaluation,Foundations in NLP
143,"['perplexity', 'probability', 'calculate', 'metric', 'logit', 'token', 'dialect', 'formula', 'gridsearchcv', 'calculation']",Evaluation Metrics and Probability Calculations in Language Modeling,Language Modeling Techniques and Evaluation,Foundations in NLP
48,"['dataframe', 'similarity', 'column', 'row', 'compare', 'score', 'frame', 'df', 'panda', 'similar']",Computing Similarity Scores Between Rows or Columns in Pandas DataFrames,Text Processing and Data Manipulation in DataFrames,Preprocessing
53,"['dataframe', 'column', 'row', 'panda', 'frame', 'df', 'match', 'contain', 'keyword', 'value']",Searching and Matching Values or Keywords in Pandas DataFrames,Text Processing and Data Manipulation in DataFrames,Preprocessing
23,"['dataframe', 'column', 'row', 'panda', 'frame', 'df', 'split', 'value', 'merge', 'pandas']",Data Manipulation and Transformation Using Pandas DataFrames,Text Processing and Data Manipulation in DataFrames,Preprocessing
124,"['column', 'dataframe', 'tokenize', 'pyspark', 'panda', 'tokenization', 'tokenized', 'df', 'csv', 'pandas']",Tokenizing Text Data in DataFrames Using Pandas or PySpark,Text Processing and Data Manipulation in DataFrames,Preprocessing
93,"['dataframe', 'column', 'panda', 'spacy', 'frame', 'apply', 'doc', 'entity', 'df', 'icc']",Named Entity Recognition (NER) on Pandas DataFrame Columns Using spaCy,Text Processing and Data Manipulation in DataFrames,Preprocessing
81,"['syllable', 'vowel', 'consonant', 'phoneme', 'sound', 'timestamp', 'soundex', 'textarea', 'algorithm', 'accent']",Phonetic Analysis and Sound-Based Algorithms for Text or Speech,Linguistic Preprocessing and Lexical Analysis in NLP,Preprocessing
159,"['split', 'space', 'separate', 'word', 'splitting', 'combine', 'khmer', 'dictionary', 'segmentation', 'string']",Word Segmentation and Tokenization for Non-Space-Separated Languages,Linguistic Preprocessing and Lexical Analysis in NLP,Preprocessing
99,"['dictionary', 'key', 'value', 'list', 'replace', 'comer', 'loop', 'string', 'python', 'create']",Manipulating Dictionaries and Strings in Python,Linguistic Preprocessing and Lexical Analysis in NLP,Preprocessing
106,"['dictionary', 'english', 'word', 'list', 'russian', 'database', 'liwc', 'wiktionary', 'definition', 'frequency']",Linguistic Resources and Word Lists for Multilingual Lexical Analysis,Linguistic Preprocessing and Lexical Analysis in NLP,Preprocessing
39,"['language', 'english', 'detect', 'detection', 'spanish', 'determine', 'french', 'library', 'german', 'text']",Language Detection in Text Data,Linguistic Preprocessing and Lexical Analysis in NLP,Preprocessing
25,"['spell', 'spelling', 'correction', 'checker', 'correct', 'hunspell', 'misspelling', 'check', 'misspell', 'misspelled']",Spelling Correction and Spell Checking in Text Processing,Linguistic Preprocessing and Lexical Analysis in NLP,Preprocessing
153,"['tuple', 'list', 'element', 'index', 'string', 'replace', 'position', 'overlap', 'nn', 'want']",Manipulating Elements and Positions in Python Data Structures,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
75,"['match', 'fuzzy', 'distance', 'string', 'levenshtein', 'matching', 'fuzzywuzzy', 'similarity', 'compare', 'score']",Fuzzy String Matching and Similarity Scoring Using Edit Distance Algorithms,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
84,"['list', 'python', 'string', 'seaside', 'word', 'phrase', 'return', 'contain', 'keyword', 'search']",Searching for Keywords or Phrases in Python Lists or Strings,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
72,"['word', 'list', 'corpus', 'phrase', 'common', 'dictionary', 'find', 'text', 'search', 'large']",Searching for Common Words or Phrases in Large Text Corpora,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
68,"['keyword', 'phrase', 'search', 'document', 'relevant', 'mysql', 'extract', 'tag', 'algorithm', 'match']",Keyword and Phrase Matching for Information Retrieval in Documents,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
16,"['string', 'frame', 'column', 'package', 'extract', 'data', 'function', 'row', 'text', 'dataframe']",Extracting Text Data from Columns in a DataFrame Using a Packages,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
138,"['extract', 'regex', 'phrase', 'sentence', 'paragraph', 'keyword', 'pattern', 'line', 'regular', 'expression']",Text Extraction Using Regular Expressions (Regex),"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
20,"['regex', 'split', 'match', 'string', 'character', 'expression', 'separate', 'regular', 'pattern', 'space']",String Splitting and Pattern Matching Using Regular Expressions (Regex),"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
42,"['number', 'numeric', 'digit', 'convert', 'regular', 'unit', 'expression', 'integer', 'value', 'string']",Extracting and Converting Numeric Values from Strings Using Regular Expressions,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
3,"['remove', 'stopword', 'stop', 'character', 'punctuation', 'replace', 'word', 'special', 'space', 'string']",Text Cleaning and Preprocessing for NLP,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
55,"['remove', 'dataframe', 'row', 'column', 'delete', 'panda', 'frame', 'stopword', 'clean', 'contain']",Data Cleaning and Stopword Removal in Pandas DataFrames,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
149,"['duplicate', 'asset', 'remove', 'fleet', 'line', 'title', 'repeat', 'tweet', 'maintenance', 'retweet']",Detecting and Removing Duplicate Records in the Data,"Text Cleaning, Pattern Matching, and Data Preprocessing",Preprocessing
120,"['resume', 'job', 'information', 'education', 'extract', 'course', 'institute', 'personal', 'demographic', 'title']",Information Extraction from Resumes for Profiling,Information Extraction and Named Entity Recognition,Information Extraction
38,"['name', 'person', 'entity', 'organization', 'smith', 'people', 'identify', 'extract', 'detect', 'recognition']",Named Entity Recognition (NER) for Identifying People and Organizations,Information Extraction and Named Entity Recognition,Information Extraction
30,"['city', 'location', 'address', 'country', 'state', 'name', 'san', 'extract', 'place', 'destination']",Location and Place Name Extraction from Text,Information Extraction and Named Entity Recognition,Information Extraction
121,"['company', 'organization', 'name', 'club', 'manchester', 'hotel', 'industry', 'utd', 'catch', 'heading']",Organization and Business Entity Recognition from Text,Information Extraction and Named Entity Recognition,Information Extraction
70,"['product', 'brand', 'category', 'description', 'item', 'floratil', 'red', 'compound', 'coke', 'bull']",Product and Brand Name Recognition in Text ,Domain-Specific Information Extraction and Content Summarization,Information Extraction
74,"['category', 'topic', 'categorize', 'event', 'classify', 'tag', 'belong', 'title', 'sport', 'news']",Text Classification and Topic Categorization for News or Events,Domain-Specific Information Extraction and Content Summarization,Information Extraction
63,"['food', 'ingredient', 'extract', 'unstructured', 'medical', 'description', 'job', 'structured', 'chicken', 'information']","Information Extraction from Unstructured Text in Medical, Food, or Job Descriptions",Domain-Specific Information Extraction and Content Summarization,Information Extraction
155,"['paragraph', 'docx', 'text', 'heading', 'extract', 'contract', 'title', 'group', 'document', 'body']",Text and Section Extraction from Structured Documents,Domain-Specific Information Extraction and Content Summarization,Information Extraction
28,"['scrape', 'url', 'html', 'page', 'website', 'web', 'link', 'beautifulsoup', 'webpage', 'article']",Web Scraping and HTML Parsing to Extract Data from Webpages,Domain-Specific Information Extraction and Content Summarization,Information Extraction
91,"['wikipedia', 'article', 'dump', 'content', 'page', 'crawl', 'wiki', 'extract', 'tweet', 'navigation']",Extracting and Crawling Content from Wikipedia Articles,Domain-Specific Information Extraction and Content Summarization,Information Extraction
62,"['summarization', 'summary', 'summarize', 'article', 'abstractive', 'summarizer', 'automatic', 'ford', 'extractive', 'news']",Text Summarization of News Articles,Domain-Specific Information Extraction and Content Summarization,Information Extraction
117,"['gender', 'male', 'female', 'pronoun', 'person', 'freq', 'box', 'doctor', 'determine', 'woman']",Gender Identification and Analysis in Texts,"Linguistic Analysis, Grammar, and Normalization",Syntactic and Semantic Analysis
132,"['ruby', 'gem', 'rail', 'app', 'resque', 'array', 'rake', 'slander', 'be', 'sinatra']",Ruby Frameworks for NLP,"Linguistic Analysis, Grammar, and Normalization",Syntactic and Semantic Analysis
129,"['capitalize', 'case', 'low', 'capitalization', 'lowercase', 'noun', 'upper', 'proper', 'letter', 'convert']",Text Case Conversion and Capitalization Rules,"Linguistic Analysis, Grammar, and Normalization",Syntactic and Semantic Analysis
100,"['plural', 'singular', 'noun', 'form', 'simplenlg', 'plurality', 'pluralize', 'singularize', 'thief', 'compromise']",Grammatical Number Handling (Plural vs Singular),"Linguistic Analysis, Grammar, and Normalization",Syntactic and Semantic Analysis
6,"['wordnet', 'synset', 'synonym', 'synonyms', 'sense', 'hypernym', 'nltk', 'word', 'hypernyms', 'find']",Word Sense Discovery Using WordNet,"Linguistic Analysis, Grammar, and Normalization",Syntactic and Semantic Analysis
43,"['verb', 'tense', 'past', 'form', 'noun', 'verbs', 'conjugation', 'adjective', 'participle', 'present']",Verb Conjugation and Grammatical Tense Analysis,"Linguistic Analysis, Grammar, and Normalization",Syntactic and Semantic Analysis
13,"['stem', 'stemmer', 'porter', 'stemming', 'root', 'snowball', 'suffix', 'snowballstemmer', 'word', 'lemmatizer']",Stemming for Text Normalisation,"Linguistic Analysis, Grammar, and Normalization",Syntactic and Semantic Analysis
50,"['lemmatize', 'lemma', 'lemmatization', 'lemmatizer', 'wn', 'wordnet', 'verb', 'nltk', 'word', 'eat']",Lemmatization Using WordNet and NLTK,Lemmatization for Text Normalisation,Preprocessing
151,"['lemmatization', 'lemma', 'lemmatize', 'spacy', 'lemmatizer', 'prime', 'minister', 'russian', 'pipeline', 'chien']",Multilingual Lemmatization Using spaCy,Lemmatization for Text Normalisation,Preprocessing
26,"['matcher', 'pattern', 'match', 'spacy', 'rule', 'token', 'matching', 'regex', 'phrasematcher', 'span']",Rule-Based Pattern Matching in spaCy,Natural Language Processing with spaCy,Libraries and Tools
59,"['spacy', 'noun', 'chunk', 'dependency', 'phrase', 'entity', 'extract', 'sentence', 'root', 'verb']",Syntactic Parsing and Phrase Extraction Using spaCy,Natural Language Processing with spaCy,Libraries and Tools
87,"['spacy', 'tag', 'pos', 'dependency', 'mood', 'tagger', 'verb', 'attribute', 'propn', 'verbform']",Part-of-Speech Tagging Using spaCy,Natural Language Processing with spaCy,Libraries and Tools
57,"['spacy', 'pipeline', 'doc', 'component', 'object', 'generator', 'custom', 'sentencizer', 'docbin', 'nlp']",Building and Customizing NLP Pipelines in spaCy,Natural Language Processing with spaCy,Libraries and Tools
92,"['spacy', 'similarity', 'vector', 'score', 'delaney', 'schreiber', 'w008', 'compare', 'wrong', 'orange']",Word and Document Similarity Scoring Using spaCy,Natural Language Processing with spaCy,Libraries and Tools
77,"['tag', 'pos', 'tagger', 'tagging', 'stanford', 'speech', 'noun', 'parser', 'nlp', 'nn']",Part-of-Speech Tagging in NLP Using Stanford POS Tagger,Part-of-Speech Tagging and Shallow Parsing,Syntactic and Semantic Analysis
34,"['tagger', 'pos', 'tag', 'nltk', 'tagset', 'tagging', 'brown', 'corpus', 'speech', 'treebank']",POS Tagging and Corpus-Based Annotation Using NLTK,Part-of-Speech Tagging and Shallow Parsing,Syntactic and Semantic Analysis
45,"['chunk', 'tag', 'nltk', 'pos', 'chunker', 'pattern', 'nn', 'nnp', 'extract', 'noun']",Shallow Parsing (Chunking) of Phrases Using NLTK,Part-of-Speech Tagging and Shallow Parsing,Syntactic and Semantic Analysis
111,"['jape', 'rule', 'annotation', 'gate', 'annotate', 'sov', 'cm', 'resist', 'negation', 'solver']",Rule-Based Text Annotation and Information Extraction Using GATE and JAPE,Rule-Based Text Annotation and Extraction,Information Extraction
144,"['uima', 'annotator', 'annotation', 'gate', 'cas', 'conceptmapper', 'pipeline', 'annie', 'apache', 'xmi']",Text Annotation Pipelines Using UIMA and GATE Frameworks,Rule-Based Text Annotation and Extraction,Information Extraction
66,"['thread', 'stanford', 'memory', 'corenlp', 'cpu', 'heap', 'core', 'run', 'process', 'java']",Performance and Resource Management of Java-Based Stanford CoreNLP,Natural Language Processing with Stanford CoreNLP,Libraries and Tools
